state,market,avg_min_price,avg_max_price,avg_modal_price
Kerala,Taliparamba,15350.0,15650.0,15508.333333333334
Madhya Pradesh,Dhar,2100.0,2350.0,2150.0
Madhya Pradesh,Dhar(F&V),1200.0,1266.6666666666667,1233.3333333333333
Madhya Pradesh,Gadarwada,1000.0,1266.6666666666667,1133.3333333333333
Madhya Pradesh,Gorakhpur,3037.5,3112.5,3075.0
Madhya Pradesh,Jaithari,1750.0,1750.0,1750.0
Madhya Pradesh,Pandhana(F&V),1200.0,1400.0,1300.0
Madhya Pradesh,Sendhwa,571.4285714285714,900.0,735.7142857142857
Madhya Pradesh,Sheopurkalan,3160.0,3300.0,3250.0
Madhya Pradesh,Syopurkalan(F&V),650.0,775.0,712.5
Madhya Pradesh,Thandla,1828.125,1985.625,1904.0625
Maharashtra,Akluj,1350.0,2050.0,1700.0
Maharashtra,Bhokar,3575.0,3913.0,3687.75
Maharashtra,Deoulgaon Raja,5100.0,5400.0,5300.0
Maharashtra,Karad,1753.4666666666667,2328.5666666666666,2328.5666666666666
Maharashtra,Kolhapur,1255.0,4435.0,3092.5
Maharashtra,Kolhapur(Malkapur),112.5,332.5,225.0
Maharashtra,Lasalgaon(Niphad),251.0,441.0,351.0
Maharashtra,Mangal Wedha,1089.0,3144.777777777778,2066.8888888888887
Maharashtra,Newasa(Ghodegaon),200.0,600.0,400.0
Maharashtra,Pandharpur,425.0,511.0,475.0
Maharashtra,Pune,1357.2727272727273,3045.318181818182,1980.25
Maharashtra,Pune(Hadapsar),1437.2727272727273,2161.2272727272725,1815.1818181818182
Maharashtra,Pune(Khadiki),471.9,792.2,632.1
Maharashtra,Pune(Pimpri),1463.0,1632.6923076923076,1547.923076923077
Maharashtra,Rahata,250.0,7000.0,4000.0
Maharashtra,Savner,3932.5,4013.75,3982.5
Maharashtra,Yawal,2260.0,2714.0,2438.0
Manipur,Bishenpur,2745.0,3870.0,3815.0
Manipur,Imphal,2968.181818181818,4568.181818181818,4550.0
Manipur,Lamlong Bazaar,3070.0,4630.0,4630.0
Manipur,Moreh,3188.8888888888887,4311.111111111111,4177.777777777777
Manipur,Thoubal,2581.25,4839.583333333333,4689.583333333333
Meghalaya,Shillong,7533.333333333333,10833.333333333334,9391.666666666666
Nagaland,Mangkolemba,2050.0,2350.0,2183.3333333333335
Odisha,Angul,400.0,600.0,500.0
Odisha,Angul(Jarapada),400.0,600.0,500.0
Odisha,Betnoti,1490.909090909091,1872.7272727272727,1672.7272727272727
Odisha,Bhanjanagar,1483.3333333333333,1616.6666666666667,1550.0
Odisha,Bonai,3442.8260869565215,3860.4347826086955,3795.217391304348
Odisha,Digapahandi,2150.0,2460.0,2275.0
Odisha,Godabhaga,1750.0,1770.0,1750.0
Odisha,Hindol,1930.0,2260.0,2100.0
Odisha,Jaleswar,2616.6666666666665,2808.3333333333335,2716.6666666666665
Odisha,Jharsuguda,900.0,1200.0,1100.0
Odisha,Kasinagar,1860.0,2240.0,2240.0
Odisha,Nawarangpur,1533.3333333333333,1583.3333333333333,1533.3333333333333
Odisha,Nilagiri,1312.5,1437.5,1375.0
Odisha,Pallahara,700.0,900.0,800.0
Odisha,Panposh,575.0,900.0,800.0
Odisha,Parlakhemundi,1950.0,2250.0,2250.0
Odisha,Saraskana,2457.1428571428573,2928.5714285714284,2685.714285714286
Pondicherry,Karaikal,3916.4285714285716,3940.285714285714,3928.4285714285716
Punjab,Adampur,1745.0,2115.0,2115.0
Punjab,Bhucho,900.0,1050.0,975.0
Punjab,Chogawan,733.3333333333334,933.3333333333334,833.3333333333334
Punjab,Dasuya,1727.5,2065.0,2065.0
Punjab,Dera Baba Nanak,700.0,900.0,800.0
Punjab,Dhanaula,612.5,787.5,700.0
Punjab,Dhariwal,500.0,707.1428571428571,610.0
Punjab,Doraha,857.1428571428571,1528.5714285714287,1192.857142857143
Punjab,Ghanaur,1150.0,1250.0,1250.0
Punjab,Harike,616.6666666666666,700.0,633.3333333333334
Punjab,Kalanaur,1533.3333333333333,1766.6666666666667,1666.6666666666667
Punjab,Lohian Khas,387.5,612.5,500.0
Punjab,Malout,2172.0,3072.6,2646.0
Punjab,Mansa,2080.0,2727.8125,2400.625
Punjab,Mehatpur,500.0,660.0,620.0
Punjab,Mehta,700.0,820.0,800.0
Punjab,Morinda,2062.5,2193.75,2116.25
Punjab,Patti,1342.857142857143,1686.1904761904761,1514.7619047619048
Punjab,Rajpura,1312.5,1775.0,1543.75
Punjab,Sahnewal,1259.090909090909,1368.1818181818182,1359.090909090909
Rajasthan,Anta,3316.0,3570.0,3443.0
Rajasthan,Barmer,4175.0,4275.0,4225.0
Rajasthan,Begu,1650.0,1990.0,1750.0
Rajasthan,Deoli,2292.2,2547.2,2419.8
Rajasthan,Itawa,3203.6,3340.6,3272.0
Rajasthan,Jalore,2137.5,2337.5,2237.5
Rajasthan,Khanpur,2666.3333333333335,3037.6666666666665,3037.6666666666665
Rajasthan,Lunkaransar,4120.0,4185.0,4152.5
Rajasthan,Sri Madhopur,3112.5,3181.25,3146.75
Rajasthan,Surajgarh,4050.0,4050.0,4050.0
Rajasthan,Uniyara,2650.0,2750.0,2700.0
Tamil Nadu,Acharapakkam,1350.0,1480.0,1420.0
Tamil Nadu,Ammoor,1324.3333333333333,1481.0,1403.0
Tamil Nadu,Anaimalai,2800.0,3000.0,2900.0
Tamil Nadu,Annur,3000.0,3200.0,3100.0
Tamil Nadu,Attur,4805.0,5265.0,4960.0
Tamil Nadu,Avalurpet,3587.8,4570.8,4057.4
Tamil Nadu,Bargur,1500.0,1950.0,1800.0
Tamil Nadu,Budalur,1900.0,2100.0,2000.0
Tamil Nadu,Chengalpattu,1427.0,1692.0,1560.0
Tamil Nadu,Cheyyar,2915.6666666666665,3220.3333333333335,3141.3333333333335
Tamil Nadu,Chinnasalem,5345.666666666667,5426.333333333333,5373.333333333333
